127.0.0.1 - - [08/Nov/2023:22:48:21 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [08/Nov/2023:22:48:26 +0900] "GET /ch03/Practice%2019/calc.jsp HTTP/1.1" 200 2991
0:0:0:0:0:0:0:1 - - [08/Nov/2023:22:48:26 +0900] "GET /ch03/Practice%2019/image/cal.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Nov/2023:22:48:26 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [08/Nov/2023:23:03:53 +0900] "POST /ch03/Practice%2019/calc_result.jsp HTTP/1.1" 200 2324
0:0:0:0:0:0:0:1 - - [08/Nov/2023:23:04:11 +0900] "POST /ch03/Practice%2019/calc_result.jsp HTTP/1.1" 200 2324
0:0:0:0:0:0:0:1 - - [08/Nov/2023:23:04:12 +0900] "POST /ch03/Practice%2019/calc_result.jsp HTTP/1.1" 200 2324
0:0:0:0:0:0:0:1 - - [08/Nov/2023:23:04:23 +0900] "GET /ch03/Practice%2019/calc.jsp HTTP/1.1" 200 2991
0:0:0:0:0:0:0:1 - - [08/Nov/2023:23:04:31 +0900] "POST /ch03/Practice%2019/calc_result.jsp HTTP/1.1" 200 2324
0:0:0:0:0:0:0:1 - - [08/Nov/2023:23:11:42 +0900] "GET /ch03/Practice%2019/calc.jsp HTTP/1.1" 200 2991
0:0:0:0:0:0:0:1 - - [08/Nov/2023:23:11:43 +0900] "GET /ch03/Practice%2019/image/cal.jpg HTTP/1.1" 200 30848
0:0:0:0:0:0:0:1 - - [08/Nov/2023:23:11:43 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [08/Nov/2023:23:11:51 +0900] "POST /ch03/Practice%2019/calc_result.jsp HTTP/1.1" 200 2324
0:0:0:0:0:0:0:1 - - [08/Nov/2023:23:13:07 +0900] "GET /ch03/Practice%2019/calc.jsp HTTP/1.1" 200 2991
0:0:0:0:0:0:0:1 - - [08/Nov/2023:23:13:14 +0900] "POST /ch03/Practice%2019/calc_result.jsp HTTP/1.1" 200 2326
0:0:0:0:0:0:0:1 - - [08/Nov/2023:23:18:37 +0900] "GET /ch03/Practice%2020/application_01.jsp HTTP/1.1" 200 487
0:0:0:0:0:0:0:1 - - [08/Nov/2023:23:18:47 +0900] "GET /ch03/Practice%2020/application_01.jsp HTTP/1.1" 200 509
0:0:0:0:0:0:0:1 - - [08/Nov/2023:23:19:02 +0900] "GET /ch03/Practice%2020/application_01.jsp HTTP/1.1" 200 511
0:0:0:0:0:0:0:1 - - [08/Nov/2023:23:19:13 +0900] "GET /ch03/Practice%2020/application_01.jsp HTTP/1.1" 200 555
0:0:0:0:0:0:0:1 - - [08/Nov/2023:23:19:21 +0900] "GET /ch03/Practice%2020/application_01.jsp HTTP/1.1" 200 533
0:0:0:0:0:0:0:1 - - [08/Nov/2023:23:28:01 +0900] "GET /ch03/Practice%2020/application_01.jsp HTTP/1.1" 200 528
0:0:0:0:0:0:0:1 - - [08/Nov/2023:23:28:13 +0900] "POST /ch03/Practice%2020/application_02.jsp HTTP/1.1" 500 4812
0:0:0:0:0:0:0:1 - - [08/Nov/2023:23:37:08 +0900] "GET /ch03/Practice%2020/application_01.jsp HTTP/1.1" 200 505
0:0:0:0:0:0:0:1 - - [08/Nov/2023:23:37:13 +0900] "POST /ch03/Practice%2020/application_02.jsp HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [08/Nov/2023:23:38:15 +0900] "GET /ch03/Practice%2020/application_01.jsp HTTP/1.1" 200 505
0:0:0:0:0:0:0:1 - - [08/Nov/2023:23:38:22 +0900] "POST /ch03/Practice%2020/application_02.jsp HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [08/Nov/2023:23:54:08 +0900] "GET /ch03/Practice%2020/application_01.jsp HTTP/1.1" 200 505
0:0:0:0:0:0:0:1 - - [08/Nov/2023:23:54:12 +0900] "POST /ch03/Practice%2020/application_02.jsp HTTP/1.1" 200 380
0:0:0:0:0:0:0:1 - - [08/Nov/2023:23:55:28 +0900] "GET /ch03/Practice%2020/application_01.jsp HTTP/1.1" 200 505
0:0:0:0:0:0:0:1 - - [08/Nov/2023:23:55:32 +0900] "POST /ch03/Practice%2020/application_02.jsp HTTP/1.1" 200 404
0:0:0:0:0:0:0:1 - - [08/Nov/2023:23:55:58 +0900] "GET /ch03/Practice%2020/application_01.jsp HTTP/1.1" 200 505
0:0:0:0:0:0:0:1 - - [08/Nov/2023:23:56:02 +0900] "POST /ch03/Practice%2020/application_02.jsp HTTP/1.1" 200 383
0:0:0:0:0:0:0:1 - - [08/Nov/2023:23:56:07 +0900] "POST /ch03/Practice%2020/application_02.jsp HTTP/1.1" 200 383
0:0:0:0:0:0:0:1 - - [08/Nov/2023:23:56:08 +0900] "POST /ch03/Practice%2020/application_02.jsp HTTP/1.1" 200 383
